Entry,Reaction Name,Description,Pathway IDs
R00713,succinate-semialdehyde:NAD+ oxidoreductase,Succinate semialdehyde + NAD+ + H2O <=> Succinate + NADH + H+,"Alanine, aspartate and glutamate metabolism,Tyrosine metabolism,Butanoate metabolism,Nicotinate and nicotinamide metabolism,Microbial metabolism in diverse environments"
R00286,UDP-glucose:NAD+ 6-oxidoreductase,UDP-glucose + H2O + 2 NAD+ <=> UDP-glucuronate + 2 NADH + 2 H+,"Pentose and glucuronate interconversions,Ascorbate and aldarate metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of various nucleotide sugars,Biosynthesis of cofactors,Biosynthesis of nucleotide sugars"
R01383,UDPglucuronate beta-D-glucuronosyltransferase (acceptor-unspecific),UDP-glucuronate + ROH <=> UDP + beta-D-Glucuronoside,"Pentose and glucuronate interconversions,Ascorbate and aldarate metabolism,Biosynthesis of cofactors"
R01478,beta-D-glucuronoside glucuronosohydrolase,H2O + beta-D-Glucuronoside <=> D-Glucuronate + Alcohol,"Pentose and glucuronate interconversions,Ascorbate and aldarate metabolism,Biosynthesis of cofactors"
R01481,L-gulonate:NADP+ 6-oxidoreductase,L-Gulonate + NADP+ <=> D-Glucuronate + NADPH + H+,"Pentose and glucuronate interconversions,Ascorbate and aldarate metabolism,Biosynthesis of cofactors"
R02933,"L-gulono-1,4-lactone lactonohydrolase","L-Gulono-1,4-lactone + H2O <=> L-Gulonate","Ascorbate and aldarate metabolism,Biosynthesis of cofactors"
R03184,"L-gulono-1,4-lactone:oxygen 2-oxidoreductase","L-Gulono-1,4-lactone + Oxygen <=> L-xylo-Hexulonolactone + Hydrogen peroxide",Ascorbate and aldarate metabolism
R04432,"propanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase",Electron-transferring flavoprotein + Propanoyl-CoA <=> Reduced electron-transferring flavoprotein + Propenoyl-CoA,"beta-Alanine metabolism,Propanoate metabolism,Carbon metabolism"
R12356,propanoyl-CoA:oxygen 2-oxidoreductase,Propanoyl-CoA + Oxygen <=> Propenoyl-CoA + Hydrogen peroxide,"beta-Alanine metabolism,Propanoate metabolism,Carbon metabolism"
R03045,3-hydroxypropionyl-CoA hydro-lyase,3-Hydroxypropionyl-CoA <=> Propenoyl-CoA + H2O,"beta-Alanine metabolism,Propanoate metabolism,Other carbon fixation pathways,Microbial metabolism in diverse environments,Carbon metabolism"
R03157,,3-Hydroxypropionyl-CoA + Orthophosphate + ADP <=> 3-Hydroxypropanoate + CoA + ATP,"Other carbon fixation pathways,Microbial metabolism in diverse environments"
R01608,3-hydroxypropanoate:NAD+ oxidoreductase,3-Hydroxypropanoate + NAD+ <=> 3-Oxopropanoate + NADH + H+,"beta-Alanine metabolism,Propanoate metabolism,Carbon metabolism"
R10937,"alpha-D-sedoheptulopyranose-7-phosphate phosphate-lyase (cyclizing, 2-epi-5-epi-valiolone-forming)",alpha-D-Sedoheptulopyranose 7-phosphate <=> 2-epi-5-epi-Valiolone + Orthophosphate,"Acarbose and validamycin biosynthesis,Biosynthesis of secondary metabolites"
R11079,2-epi-5-epi-valiolone 2-epimerase,2-epi-5-epi-Valiolone <=> 5-epi-Valiolone,"Acarbose and validamycin biosynthesis,Biosynthesis of secondary metabolites"
R11233,,5-epi-Valiolone <=> Valienone + H2O,"Acarbose and validamycin biosynthesis,Biosynthesis of secondary metabolites"
R11234,ATP:valienone 7-phosphotransferase,Valienone + ATP <=> Valienone 7-phosphate + ADP,"Acarbose and validamycin biosynthesis,Biosynthesis of secondary metabolites"
R11236,,Valienone 7-phosphate <=> Validone 7-phosphate,"Acarbose and validamycin biosynthesis,Biosynthesis of secondary metabolites"
R11238,,Validone 7-phosphate <=> Validamine 7-phosphate,"Acarbose and validamycin biosynthesis,Biosynthesis of secondary metabolites"
R11497,GDP-valienol:validamine 7-phosphate valienyltransferase,GDP-valienol + Validamine 7-phosphate <=> Validoxylamine A 7'-phosphate + GDP,"Acarbose and validamycin biosynthesis,Biosynthesis of secondary metabolites"
R11240,,Validoxylamine A 7'-phosphate + H2O <=> Validoxylamine A + Orthophosphate,"Acarbose and validamycin biosynthesis,Biosynthesis of secondary metabolites"
R11241,,Validoxylamine A + UDP-glucose <=> Validamycin A + UDP,"Acarbose and validamycin biosynthesis,Biosynthesis of secondary metabolites"
R09394,"GTP 3',8-cyclase [(8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate-forming]","GTP + S-Adenosyl-L-methionine + Reduced acceptor <=> (8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate + 5'-Deoxyadenosine + L-Methionine + Acceptor","Folate biosynthesis,Biosynthesis of cofactors"
R11372,"(8S)-3',8-cyclo-7,8-dihydroguanosine 5'-triphosphate lyase (cyclic pyranopterin phosphate-forming)","(8S)-3',8-Cyclo-7,8-dihydroguanosine 5'-triphosphate + H2O <=> Precursor Z + Diphosphate","Folate biosynthesis,Biosynthesis of cofactors"
R09395,thiocarboxylated molybdopterin synthase:cyclic pyranopterin phosphate sulfurtransferase,Precursor Z + 2 Thiocarboxy-[sulfur-carrier protein] <=> Molybdopterin + 2 Sulfur-carrier protein,"Folate biosynthesis,Biosynthesis of cofactors"
R09726,ATP:molybdopterin adenylyltransferase,ATP + Molybdopterin <=> Diphosphate + Adenylated molybdopterin,"Folate biosynthesis,Biosynthesis of cofactors"
R09735,adenylyl-molybdopterin:molybdate molybdate transferase (AMP-forming),Adenylated molybdopterin + Molybdate <=> Molybdoenzyme molybdenum cofactor + AMP + H2O,"Folate biosynthesis,Biosynthesis of cofactors"
R01717,chorismate hydroxymutase,Chorismate <=> Isochorismate,"Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of siderophore group nonribosomal peptides,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R08165,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,Isochorismate + 2-Oxoglutarate <=> 2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate + CO2,"Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R08166,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase","2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate <=> (1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate + Pyruvate","Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R04031,"(1R,6R)-6-hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate hydrolyase (2-succinylbenzoate-forming)","2-Succinylbenzoate + H2O <=> (1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate","Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R04030,O-succinylbenzoate:CoA ligase (AMP-forming),ATP + 2-Succinylbenzoate + CoA <=> AMP + Diphosphate + 2-Succinylbenzoyl-CoA,"Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R07263,4-(2-carboxyphenyl)-4-oxobutanoyl-CoA dehydratase (cyclizing),"2-Succinylbenzoyl-CoA <=> 1,4-Dihydroxy-2-naphthoyl-CoA + H2O","Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R07262,"1,4-dihydroxy-2-naphthoyl-CoA hydrolase","1,4-Dihydroxy-2-naphthoyl-CoA + H2O <=> 1,4-Dihydroxy-2-naphthoate + CoA","Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R10757,"all-trans-polyprenyl-diphosphate:1,4-dihydroxy-2-naphthoate polyprenyltransferase","all-trans-Polyprenyl diphosphate + 1,4-Dihydroxy-2-naphthoate <=> Demethylmenaquinol + Diphosphate + CO2","Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R09736,S-adenosyl-L-methione:demethylmenaquinol methyltransferase,Demethylmenaquinol + S-Adenosyl-L-methionine <=> Menaquinol + S-Adenosyl-L-homocysteine,"Ubiquinone and other terpenoid-quinone biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R00565,L-arginine:glycine amidinotransferase,L-Arginine + Glycine <=> L-Ornithine + Guanidinoacetate,"Glycine, serine and threonine metabolism,Arginine and proline metabolism"
R01883,S-adenosyl-L-methionine:guanidinoacetate N-methyltransferase,S-Adenosyl-L-methionine + Guanidinoacetate <=> S-Adenosyl-L-homocysteine + Creatine,"Glycine, serine and threonine metabolism,Arginine and proline metabolism"
R01881,ATP:creatine N-phosphotransferase,ATP + Creatine <=> ADP + Phosphocreatine,Arginine and proline metabolism
R00214,(S)-malate:NAD+ oxidoreductase (decarboxylating),(S)-Malate + NAD+ <=> Pyruvate + CO2 + NADH + H+,"Pyruvate metabolism,Carbon fixation by Calvin cycle,Microbial metabolism in diverse environments,Carbon metabolism"
R00258,L-alanine:2-oxoglutarate aminotransferase,L-Alanine + 2-Oxoglutarate <=> Pyruvate + L-Glutamate,"Arginine biosynthesis,Alanine, aspartate and glutamate metabolism,Carbon fixation by Calvin cycle,Microbial metabolism in diverse environments,Carbon metabolism,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids"
R13348,17-dehydrostemmadenine:NADP+ 3(4)-oxidoreductase,"17-Dehydrostemmadenine + NADP+ <=> 3,17-Didehydrostemmadenine + NADPH","Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R13349,stemmadenine:NADP+ 17-oxidoreductase,Stemmadenine + NADP+ <=> 17-Dehydrostemmadenine + NADPH + H+,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R13343,acetyl-CoA:stemmadenine O-acetyltransferase,Stemmadenine + Acetyl-CoA <=> Stemmadenine acetate + CoA,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R13344,stemmadenine acetate:oxygen oxidoreductase,Stemmadenine acetate + Oxygen <=> Precondylocarpine acetate + Hydrogen peroxide,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R13345,precondylocarpine acetate:NADP+ oxidoreductase,Dihydroprecondylocarpine acetate + NADP+ <=> Precondylocarpine acetate + NADPH + H+,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R13346,dehydrosecodine cyclase (tabersonine-forming),Dehydrosecodine <=> Tabersonine,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R05855,"tabersonine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (16-hydroxylating)",Tabersonine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 16-Hydroxytabersonine + [Oxidized NADPH---hemoprotein reductase] + H2O,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R05885,S-adenosyl-L-methionine:16-hydroxytabersonine 16-O-methyltransferase,16-Hydroxytabersonine + S-Adenosyl-L-methionine <=> 16-Methoxytabersonine + S-Adenosyl-L-homocysteine + H+,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R11810,"16-methoxytabersonine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3-hydroxylating)","16-Methoxytabersonine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (3R)-3-Hydroxy-16-methoxy-1,2-didehydro-2,3-dihydrotabersonine + [Oxidized NADPH---hemoprotein reductase] + H2O","Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R11777,"(3R)-3-hydroxy-16-methoxy-2,3-dihydrotabersonine:acceptor oxidoreductase","16-Methoxy-2,3-dihydro-3-hydroxytabersonine + Acceptor <=> (3R)-3-Hydroxy-16-methoxy-1,2-didehydro-2,3-dihydrotabersonine + Reduced acceptor","Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R04013,"S-adenosyl-L-methionine:16-methoxy-2,3-dihydro-3-hydroxytabersonine N-methyltransferase","S-Adenosyl-L-methionine + 16-Methoxy-2,3-dihydro-3-hydroxytabersonine <=> S-Adenosyl-L-homocysteine + Desacetoxyvindoline","Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R05857,"desacetoxyvindoline,2-oxoglutarate:oxygen oxidoreductase (4b-hydroxylating)",Desacetoxyvindoline + 2-Oxoglutarate + Oxygen <=> Deacetylvindoline + Succinate + CO2,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R03230,acetyl-CoA:17-O-deacetylvindoline 17-O-acetyltransferase,Acetyl-CoA + Deacetylvindoline <=> CoA + Vindoline,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R13347,dehydrosecodine cyclase (catharanthine-forming),Dehydrosecodine <=> Catharanthine,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R05858,,"Vindoline + Catharanthine <=> 3',4'-Anhydrovinblastine","Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R02017,2'-deoxyadenosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase,dADP + Thioredoxin disulfide + H2O <=> Thioredoxin + ADP,"Purine metabolism,Nucleotide metabolism"
R01137,ATP:dADP phosphotransferase,ATP + dADP <=> ADP + dATP,"Purine metabolism,Nucleotide metabolism"
R00462,L-lysine carboxy-lyase (cadaverine-forming),L-Lysine <=> Cadaverine + CO2,"Lysine degradation,Tropane, piperidine and pyridine alkaloid biosynthesis,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments"
R12214,cadaverine:2-oxoglutarate aminotransferase,Cadaverine + 2-Oxoglutarate <=> 5-Aminopentanal + L-Glutamate,"Lysine degradation,Microbial metabolism in diverse environments"
R12215,5-aminopentanal:NAD+ 1-oxidoreductase,5-Aminopentanal + NAD+ + H2O <=> 5-Aminopentanoate + NADH + H+,"Lysine degradation,Microbial metabolism in diverse environments"
R01826,"phosphoenolpyruvate:D-erythrose-4-phosphate C-(1-carboxyvinyl)transferase (phosphate hydrolysing, 2-carboxy-2-oxoethyl-forming)",Phosphoenolpyruvate + D-Erythrose 4-phosphate + H2O <=> 2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate + Orthophosphate,"Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R03083,2-dehydro-3-deoxy-D-arabino-heptonate 7-phosphate phosphate-lyase (cyclyzing),2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate <=> 3-Dehydroquinate + Orthophosphate,"Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R03084,3-dehydroquinate hydro-lyase,3-Dehydroquinate <=> 3-Dehydroshikimate + H2O,"Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R02413,shikimate:NADP+ 3-oxidoreductase,Shikimate + NADP+ <=> 3-Dehydroshikimate + NADPH + H+,"Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R02412,ATP:shikimate 3-phosphotransferase,ATP + Shikimate <=> ADP + Shikimate 3-phosphate,"Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R03460,phosphoenolpyruvate:3-phosphoshikimate 5-O-(1-carboxyvinyl)-transferase,Phosphoenolpyruvate + Shikimate 3-phosphate <=> Orthophosphate + 5-O-(1-Carboxyvinyl)-3-phosphoshikimate,"Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R01714,5-O-(1-carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming),5-O-(1-Carboxyvinyl)-3-phosphoshikimate <=> Chorismate + Orthophosphate,"Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R00209,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating);,Pyruvate + CoA + NAD+ <=> Acetyl-CoA + CO2 + NADH + H+,"Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism,2-Oxocarboxylic acid metabolism"
R00075,S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase,3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine,"Cysteine and methionine metabolism,Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R07277,nicotianamine:2-oxoglutarate aminotransferase; nicotianamine transaminase,Nicotianamine + 2-Oxoglutarate <=> 3''-Deamino-3''-oxonicotianamine + L-Glutamate,"Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R07141,2'-deoxymugineic acid:NAD+ 3''-oxidoreductase,2'-Deoxymugineic acid + NAD+ <=> 3''-Deamino-3''-oxonicotianamine + NADH + H+,"Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R07185,"2'-deoxymugineic acid,2-oxoglutarate:oxygen oxidoreductase(2-hydroxylating)",2'-Deoxymugineic acid + 2-Oxoglutarate + Oxygen <=> Mugineic acid + Succinate + CO2,"Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R01373,prephenate hydro-lyase (decarboxylating; phenylpyruvate-forming),Prephenate <=> Phenylpyruvate + H2O + CO2,"Phenylalanine, tyrosine and tryptophan biosynthesis,Biosynthesis of secondary metabolites,Biosynthesis of amino acids"
R00694,L-phenylalanine:2-oxoglutarate aminotransferase,L-Phenylalanine + 2-Oxoglutarate <=> Phenylpyruvate + L-Glutamate,"Phenylalanine metabolism,Phenylalanine, tyrosine and tryptophan biosynthesis,Tropane, piperidine and pyridine alkaloid biosynthesis,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids"
R09473,nicotinate:cytochrome 6-oxidoreductase (hydroxylating),Nicotinate + H2O + 2 Ferricytochrome <=> 6-Hydroxynicotinate + 2 Ferrocytochrome + 2 H+,"Nicotinate and nicotinamide metabolism,Microbial metabolism in diverse environments"
R08764,"6-hydroxynicotinate,NADH:oxygen oxidoreductase (3-hydroxylating, decarboxylating)","6-Hydroxynicotinate + NADH + Oxygen + H+ <=> 2,5-Dihydroxypyridine + NAD+ + CO2 + H2O","Nicotinate and nicotinamide metabolism,Microbial metabolism in diverse environments"
R09125,"2,5-dihydroxypyridine:oxygen 5,6-oxidoreductase","2,5-Dihydroxypyridine + Oxygen <=> N-Formylmaleamic acid","Nicotinate and nicotinamide metabolism,Microbial metabolism in diverse environments"
R09126,N-formylmaleamic acid amidohydrolase,N-Formylmaleamic acid + H2O <=> Maleamate + Formate,"Nicotinate and nicotinamide metabolism,Microbial metabolism in diverse environments"
R03540,maleamate amidohydrolase,Maleic acid + Ammonia <=> Maleamate + H2O,"Nicotinate and nicotinamide metabolism,Microbial metabolism in diverse environments"
R01087,maleate cis-trans-isomerase,Maleic acid <=> Fumarate,"Butanoate metabolism,Nicotinate and nicotinamide metabolism,Microbial metabolism in diverse environments"
R05976,,Protein asparagine + G00008 <=> Dolichyl diphosphate + G00009,"N-Glycan biosynthesis,Various types of N-glycan biosynthesis"
R01049,ATP:D-ribose-5-phosphate diphosphotransferase,ATP + D-Ribose 5-phosphate <=> AMP + 5-Phospho-alpha-D-ribose 1-diphosphate,"Pentose phosphate pathway,Purine metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism,Biosynthesis of amino acids"
R09306,,Octaketide bicyclic intermediate + NADPH + H+ <=> (S)-Chiral alcohol + NADP+,"Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites"
R09308,,(S)-Hemiketal <=> (S)-DNPA + H2O,"Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites"
R06695,,(S)-DNPA <=> 6-Deoxydihydrokalafungin,"Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites"
R09314,,6-Deoxydihydrokalafungin + Reduced FMN + Oxygen <=> Dihydrokalafungin + FMN + H2O,"Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites"
R05705,FMNH2:NAD+ oxidoreductase,Reduced FMN + NAD+ <=> FMN + NADH + H+,"Riboflavin metabolism,Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R06696,,6-Deoxydihydrokalafungin + Oxygen <=> Dihydrokalafungin + H2O,"Biosynthesis of type II polyketide products,Biosynthesis of secondary metabolites"
R12161,5-amino-6-(D-ribitylamino)uracil:L-tyrosine 4-hydroxybenzyltransferase,"5-Amino-6-(1-D-ribitylamino)uracil + L-Tyrosine + S-Adenosyl-L-methionine <=> 5-Amino-5-(4-hydroxybenzyl)-6-(D-ribitylimino)-5,6-dihydrouracil + Iminoglycine + L-Methionine + 5'-Deoxyadenosine","Methane metabolism,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R12162,"5-amino-5-(4-hydroxybenzyl)-6-(D-ribitylimino)-5,6-dihydrouracil ammonia-lyase (7,8-didemethyl-8-hydroxy-5-deazariboflavin-forming)","5-Amino-5-(4-hydroxybenzyl)-6-(D-ribitylimino)-5,6-dihydrouracil + S-Adenosyl-L-methionine <=> 7,8-Didemethyl-8-hydroxy-5-deazariboflavin + Ammonia + L-Methionine + 5'-Deoxyadenosine","Methane metabolism,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R09397,GTP:2-phospho-L-lactate guanylyltransferase,(2S)-2-Phospholactate + GTP <=> (2S)-Lactyl-2-diphospho-5'-guanosine + Diphosphate,"Methane metabolism,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R09398,"(2S)-lactyl-2-diphospho-5'-guanosine:7,8-didemethyl-8-hydroxy-5-deazariboflavin 2-phospho-L-lactate transferase","7,8-Didemethyl-8-hydroxy-5-deazariboflavin + (2S)-Lactyl-2-diphospho-5'-guanosine <=> Coenzyme F420-0 + GMP","Methane metabolism,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R09399,L-glutamate:coenzyme F420-0 ligase (GDP-forming),Coenzyme F420-0 + GTP + L-Glutamate <=> Coenzyme F420-1 + GDP + Orthophosphate,"Methane metabolism,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R10673,"2-amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate L-aspartate-4-semialdehyde-lyase (glycerone-phosphate-forming)","2-Amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate <=> Glycerone phosphate + L-Aspartate 4-semialdehyde","Biosynthesis of various other secondary metabolites,Biosynthesis of secondary metabolites"
R10469,"2-amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate hydro-lyase (cyclizing, 3-amino-4-hydroxybenzoate-forming)","2-Amino-4,5-dihydroxy-6-oxo-7-(phosphooxy)heptanoate <=> 3-Amino-4-hydroxybenzoate + Orthophosphate + 2 H2O","Biosynthesis of various other secondary metabolites,Biosynthesis of secondary metabolites"
R10720,3-amino-4-hydroxybenzoate:N-acetyl-L-cysteine:oxygen oxidoreductase,2 3-Amino-4-hydroxybenzoate + Acetylcysteine + 2 Oxygen <=> Grixazone B + 4 H2O + CO2,"Biosynthesis of various other secondary metabolites,Biosynthesis of secondary metabolites"
R01130,IMP:NAD+ oxidoreductase,IMP + NAD+ + H2O <=> Xanthosine 5'-phosphate + NADH + H+,"Purine metabolism,Biosynthesis of secondary metabolites,Nucleotide metabolism"
R01230,xanthosine-5'-phosphate:ammonia ligase (AMP-forming),ATP + Xanthosine 5'-phosphate + Ammonia <=> AMP + Diphosphate + GMP,"Purine metabolism,Nucleotide metabolism"
R00332,ATP:GMP phosphotransferase,ATP + GMP <=> ADP + GDP,"Purine metabolism,Nucleotide metabolism"
R00330,ATP:GDP phosphotransferase,ATP + GDP <=> ADP + GTP,"Purine metabolism,Nucleotide metabolism"
R04109,L-glutamate-semialdehyde: NADP+ oxidoreductase (L-glutamyl-tRNA(Glu)-forming),L-Glutamyl-tRNA(Glu) + NADPH + H+ <=> (S)-4-Amino-5-oxopentanoate + tRNA(Glu) + NADP+,"Porphyrin metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R02272,"(S)-4-amino-5-oxopentanoate 4,5-aminomutase",5-Aminolevulinate <=> (S)-4-Amino-5-oxopentanoate,"Porphyrin metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R00036,5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming),2 5-Aminolevulinate <=> Porphobilinogen + 2 H2O,"Porphyrin metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R00084,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing);,4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia,"Porphyrin metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R03165,hydroxymethylbilane hydro-lyase(cyclizing),Hydroxymethylbilane <=> Uroporphyrinogen III + H2O,"Porphyrin metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of cofactors"
R03197,uroporphyrinogen-III carboxy-lyase,Uroporphyrinogen III <=> Coproporphyrinogen III + 4 CO2,"Porphyrin metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R04178,coproporphyrinogen-III:oxygen oxidoreductase (coproporphyrin-forming),Coproporphyrinogen III + 3 Oxygen <=> Coproporphyrin III + 3 Hydrogen peroxide,"Porphyrin metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R11329,Fe-coproporphyrin-III ferro-lyase (coproporphyrin-III-forming),Fe-coproporphyrin III + 2 H+ <=> Coproporphyrin III + Fe2+,"Porphyrin metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R02036,6-phospho-D-gluconate hydro-lyase (2-dehydro-3-deoxy-6-phospho-D-gluconate-forming),6-Phospho-D-gluconate <=> 2-Dehydro-3-deoxy-6-phospho-D-gluconate + H2O,"Pentose phosphate pathway,Microbial metabolism in diverse environments,Carbon metabolism"
R05829,(19E)-geissoschizine:[oxidized NADPH---hemoprotein reductase] oxidoreductase (polyneuridine aldehyde forming),(19E)-Geissoschizine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Polyneuridine aldehyde + [Oxidized NADPH---hemoprotein reductase] + 2 H2O,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R05825,polyneuridine aldehyde hydrolase (decarboxylating),Polyneuridine aldehyde + H2O <=> 16-Epivellosimine + CO2 + Methanol,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R05876,acyl-CoA:16-epivellosimine O-acetyltransferase (cyclizing),Acetyl-CoA + 16-Epivellosimine <=> CoA + Vinorine,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R05877,"vinorine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (21alpha-hydroxylating)",Vinorine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Vomilenine + [Oxidized NADPH---hemoprotein reductase] + H2O,"Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R05878,"(2R)-1,2-dihydrovomilenine:NADP+ oxidoreductase","1,2-Dihydrovomilenine + NADP+ <=> Vomilenine + NADPH + H+","Indole alkaloid biosynthesis,Biosynthesis of secondary metabolites"
